Project_Name,Owner,Developer,Address,Zip_Code,Council_District,Kirwan_Opportunity_Index,Distance_to_Bus_Stop,Total_Units,Total_Affordable_Units,Unit_Type,Program,Housing_Type,Status,Affordability_Start_Date,Affordability_Period,Affordability_Expiration_Date,Certification_Date,C._of_O._Date,Required_Amount_of_Fee_in_Lieu,Date_Fee_in_Lieu_Received,Market_Rate_Units,City_Funded_Amount,%_of_Funds_Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
M Station,"Foundation Communities, Inc.","Foundation Communities, Inc.",2906 E Martin Luther King Jr Boulevard,78722,1,Very High,1/4 Mile,150,140,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,11/16/09 0:00,99,11/16/08 0:00,1/21/09,9/2/11,,,10,"$2,000,000.00 ",868.83%,No,No,No,No,No,No,Yes,Yes,No,No,"(30.2820072186666, -97.708413721868695)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",Garden Terrace Housing Corporation,"Foundation Communities, Inc.",1015 W William Cannon Drive,78745,2,Low,1/4 Mile,15,15,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,10/8/07 0:00,30,10/8/37 0:00,,,,,0,"$500,000.00 ",160%,No,No,No,No,No,No,Yes,No,No,No,"(30.198640893731199, -97.793426531850102)"
LifeWorks Transitional Living Project,Lifeworks,Lifeworks,3710 S 2nd Street,78704,3,Very Low,Neither,12,12,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/4/06 0:00,20,5/4/26 0:00,,,,,0,"$300,000.00 ",101.22%,No,No,No,No,No,No,Yes,No,No,No,"(30.2298368209301, -97.771019744386805)"
Cornerstone,Mary Lee Community,Mary Lee Foundation,1322 Lamar Square Drive,78704,5,Very Low,1/4 Mile,30,30,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,11/21/02 0:00,20,11/21/22 0:00,,,,,0,"$1,009,502.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.255306206670699, -97.764223888574307)"
The Willows,Mary Lee Community,Mary Lee Foundation,1330 Lamar Square Drive,78704,5,Moderate,1/4 Mile,64,64,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/31/10 0:00,40,8/31/50 0:00,9/8/06,,,,0,"$2,475,000.00 ",90.37%,No,No,No,No,No,No,Yes,No,No,No,"(30.2544562030313, -97.765039314015993)"
Arbor Terrace,FC Austin One Housing Corporation,"Foundation Communities, Inc.",2501 S IH-35,78741,3,Low,1/2 Mile,120,120,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/24/11 0:00,99,6/24/10 0:00,9/30/10,6/29/12,,,0,"$2,898,934.00 ",224.05%,No,No,No,No,No,No,Yes,No,No,No,"(30.2314602729335, -97.741395495667604)"
Sierra Vista,Foundation Communities,"Foundation Communities, Inc.",4320 S Congress Avenue,78745,3,Low,Neither,233,233,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/4/10 0:00,99,2/4/09 0:00,6/10/09,9/12/11,,,0,"$3,000,000.00 ",329.13%,No,No,No,No,No,No,Yes,No,No,No,"(30.2190337978803, -97.767184596458094)"
Crossroads Apartments,Crossroads Mutual Housing Corporation,"Foundation Communities, Inc.",8801 McCann Drive,78757,7,Very Low,Neither,14,14,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/17/09 0:00,99,6/17/08 0:00,,,,,0,"$900,000.00 ",33.33%,No,No,No,No,No,No,Yes,No,No,No,"(30.372730492745699, -97.729448008374803)"
904 Lydia,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,904 Lydia Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,4/3/09 0:00,40,4/3/49 0:00,,,,,0,"$60,000.00 ",143.33%,No,No,No,No,No,No,Yes,No,No,No,"(30.267405274891999, -97.728551703612794)"
1220 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1220 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/25/13 0:00,99,1/25/12 0:00,10/25/13,,,,0,"$150,000.00 ",215.33%,No,No,No,No,No,No,Yes,No,No,No,"(30.2698895050362, -97.702958679654301)"
