Shim_ID,FHFC_Key,HUD_REMS,Public_Housing_Development#,Florida_DOR_Parcel,Development_Name,Street_Address,City,State,Zip_Code,County,Housing_Program(s),Total_Units,Assisted_Units,HUD/RD_Rental_Assistance_Units,FHFC_Funded,HUD_Multifamily_Funded,HUD_Public_Housing_Funded,RD_Funded,LHFA_Funded,Target_Population,Occupancy_Status,Affordability_Start_Date,Year_built_(property_appraiser),Owner_Type,Overall_year_of_subsidy_expiration,Latitude,Longitude,Census_Tract,Census_Block_Group,Number_of_0_BR,Number_of_1_BR,Number_of_2_BR,Number_of_3_BR,Number_of_4_or_more_BR
1213,-,800003897,-,3926002000,ALACHUA APTS,13605 NW County Road 235,Alachua,Florida,32615,Alachua,Rental Assistance/HUD,70,70,70,-,x,-,-,-,Family,Ready for Occupancy,1979,1979,For-Profit,2016,29.77899933,-82.49800538,1806,3,-,18,36,16,-
1356,-,800004435,-,3926020000,SHERWOOD OAKS APARTMENTS,13400 NW 140th St,Alachua,Florida,32615,Alachua,Rental Assistance/HUD,54,54,54,-,x,-,-,-,Family,Ready for Occupancy,1981,1981,For-Profit,2036,29.77965874,-82.49592386,1806,3,-,8,30,16,-
1486,-,800003899,-,7905000000,"ALTERNATIVE HOUSING, INC.",1342 NW 45TH AVE,Gainesville,Florida,32605,Alachua,Rental Assistance/HUD;Section 202 Direct Loan,12,12,12,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1987,1986,Non-Profit,2027,29.69631324,-82.34022987,1203,1,-,12,-,-,-
1264,-,800003978,-,16106130000,CARVER GARDENS,1101 SE 15TH ST,Gainesville,Florida,32641,Alachua,Rental Assistance/HUD,100,100,100,-,x,-,-,-,Family,Ready for Occupancy,1970,1970,Non-Profit,2034,29.64116508,-82.3043299,700,3,-,24,36,40,-
3100,1417,800004097,-,8197002006,FOREST GREEN APARTMENTS,3501 NE 15th St,Gainesville,Florida,32609,Alachua,Housing Credits 4%;Local Bonds;Rental Assistance/HUD,100,100,85,x,x,-,-,x,Family,Ready for Occupancy,1971,1972,Limited Dividend,2040,29.68405664,-82.30462071,400,1,-,20,35,35,10
1306,2563,800004110,-,10970000000,GARDENIA GARDENS APARTMENTS,1727 NE 8th Ave,Gainesville,Florida,32641,Alachua,Housing Credits 9%;Rental Assistance/HUD,100,100,99,x,x,-,-,-,Family;Link,Ready for Occupancy,1967,1968,For-Profit,2064,29.658222,-82.302167,600,2,not avail.,not avail.,not avail.,not avail.,not avail.
1073,-,800004144,-,6014016000,HAMPTON COURT,6415 NW 23RD TER,Gainesville,Florida,32653,Alachua,Rental Assistance/HUD,42,42,42,-,x,-,-,-,Family,Ready for Occupancy,1980,1980,Non-Profit,2035,29.71339626,-82.35988876,1803,3,-,16,22,4,-
2121,1083,800004175,-,9640001000,HORIZON HOUSE APARTMENTS,1515 NW 10TH ST,Gainesville,Florida,32601,Alachua,Rental Assistance/HUD;SAIL,40,40,28,x,x,-,-,-,Family,Ready for Occupancy,1971,1971,Non-Profit,2053,29.666557,-82.334011,301,2,-,-,24,16,-
2150,-,800004178,-,8260000000,Housing for the Handicapped Alachua Co I- 6th St.,3781 NW 6TH ST,Gainesville,Florida,32609,Alachua,Rental Assistance/HUD;Section 202 Direct Loan,13,12,12,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1985,1985,Non-Profit,2026,29.68758783,-82.32945872,302,1,not avail.,not avail.,not avail.,not avail.,not avail.
1454,-,800004179,-,15635002001,Housing for the Handicapped Alachua Co II-9th St.,934 SW 9TH ST,Gainesville,Florida,32601,Alachua,Rental Assistance/HUD;Section 202 Direct Loan,12,12,12,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1987,1987,Non-Profit,2027,29.64255519,-82.33347419,806,1,-,12,-,-,-
1380,2797,800004265,-,6683000000,MAJESTIC OAKS APARTMENTS,5800 SW 20TH AVE,Gainesville,Florida,32607,Alachua,Housing Credits 9%;Rental Assistance/HUD,172,172,172,x,x,-,-,-,Family;Link,Ready for Occupancy,1981,1981,For-Profit,2067,29.64106904,-82.40484648,2217,3,-,36,136,-,-
1262,-,800004309,-,7240004003,New Horizons Properties I - Joyce Apts.,3010 SW 35th Pl,Gainesville,Florida,32608,Alachua,Rental Assistance/HUD;Section 202 Direct Loan,8,8,8,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1985,1985,Non-Profit,2025,29.62141612,-82.36895235,1515,1,-,8,-,-,-
1263,-,800004310,-,7296020022,New Horizons Properties II - Sunset &amp; Satellite,3440 SW 28TH TERRACE,Gainesville,Florida,32608,Alachua,Rental Assistance/HUD;Section 202 Direct Loan,20,20,20,-,x,-,-,-,Persons with Disabilities,Ready for Occupancy,1986,1986,Non-Profit,2027,29.6189994,-82.365871,1517,2,-,20,-,-,-
