Project_ID,Project_Name,House_Number,Street_Name,Borough,Community_Board,Council_District,Latitude_(Internal),Longitude_(Internal),Extended_Affordability_Status,Prevailing_Wage_Status,Extremely_Low_Income_Units,Very_Low_Income,All_Counted_Units,Total_Units
58966,ALEMBIC. 1880 BOSTON ROAD,1880,BOSTON ROAD,Bronx,206,17,40.8392129,-73.88262813,Not Extended Affordability,Prevailing Wage,167,0,168,168
60249,FOX STREET PRC,1000,FOX STREET,Bronx,202,17,,,Not Extended Affordability,Non Prevailing Wage,0,60,120,120
60249,FOX STREET PRC,960,SIMPSON STREET,Bronx,202,17,40.82165366,-73.89256246,Not Extended Affordability,Non Prevailing Wage,8,32,80,80
63348,CONFIDENTIAL,----,----,Brooklyn,317,41,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
63349,CONFIDENTIAL,----,----,Brooklyn,318,46,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
55264,THESSALONIA MANOR,960,PROSPECT AVENUE,Bronx,202,17,40.82266749,-73.8998051,Not Extended Affordability,Non Prevailing Wage,36,0,120,120
58625,ONE FLUSHING,133-45,41 AVENUE,Queens,407,20,40.75788784,-73.83071391,Not Extended Affordability,Non Prevailing Wage,0,66,232,232
60319,VILLA GARDENS,16,EAST 204 STREET,Bronx,207,11,40.87481977,-73.88798918,Not Extended Affordability,Non Prevailing Wage,0,0,53,53
60342,TILDEN TOWERS HOUSING CO. INC.,3511,BARNES AVENUE,Bronx,212,12,40.87720181,-73.86228578,Not Extended Affordability,Non Prevailing Wage,1,53,126,126
60777,477 LENOX AVENUE HDFC.HUDMF.FY17,477,LENOX AVENUE,Manhattan,110,9,40.81349604,-73.94181542,Extended Affordability,Non Prevailing Wage,8,3,12,12
63372,Village East Towers (HDC),162,AVENUE C,Manhattan,103,2,40.72608562,-73.97647312,Not Extended Affordability,Non Prevailing Wage,0,0,158,158
63372,Village East Towers (HDC),411,EAST 10 STREET,Manhattan,103,2,40.72608562,-73.97647312,Not Extended Affordability,Non Prevailing Wage,0,0,188,188
63372,Village East Towers (HDC),702,EAST 11 STREET,Manhattan,103,2,40.72608562,-73.97647312,Not Extended Affordability,Non Prevailing Wage,0,0,72,72
63372,Village East Towers (HDC),711,EAST 11 STREET,Manhattan,103,2,40.72608562,-73.97647312,Not Extended Affordability,Non Prevailing Wage,0,0,16,16
44282,NYCHA FULTON HOUSES,425,WEST 18 STREET,Manhattan,104,3,40.74406334,-74.00413934,Not Extended Affordability,Non Prevailing Wage,0,32,160,160
44339,BRONX COMMONS,435,EAST 162 STREET,Bronx,203,17,40.82453,-73.91183787,Not Extended Affordability,Non Prevailing Wage,46,60,305,305
58864,US LOTTPORT HDFC.YR15.FY2017,450,HERZL STREET,Brooklyn,316,42,40.65861895,-73.91306632,Not Extended Affordability,Non Prevailing Wage,0,5,6,6
58864,US LOTTPORT HDFC.YR15.FY2017,463,HERZL STREET,Brooklyn,316,42,40.65837967,-73.91242148,Not Extended Affordability,Non Prevailing Wage,2,12,16,16
58864,US LOTTPORT HDFC.YR15.FY2017,30,LOTT AVENUE,Brooklyn,316,42,40.6569636,-73.9127333,Not Extended Affordability,Non Prevailing Wage,0,3,4,4
58864,US LOTTPORT HDFC.YR15.FY2017,54,LOTT AVENUE,Brooklyn,316,42,40.6570892,-73.91187895,Not Extended Affordability,Non Prevailing Wage,1,3,6,6
58864,US LOTTPORT HDFC.YR15.FY2017,80,NEWPORT STREET,Brooklyn,316,42,40.65861567,-73.9123563,Not Extended Affordability,Non Prevailing Wage,0,5,6,6
58864,US LOTTPORT HDFC.YR15.FY2017,903,SARATOGA AVENUE,Brooklyn,316,42,40.65841405,-73.91434248,Not Extended Affordability,Non Prevailing Wage,2,6,11,11
58864,US LOTTPORT HDFC.YR15.FY2017,2255,STRAUSS STREET,Brooklyn,316,42,40.65856707,-73.91342321,Not Extended Affordability,Non Prevailing Wage,0,4,6,6
58864,US LOTTPORT HDFC.YR15.FY2017,2256,STRAUSS STREET,Brooklyn,316,42,40.65848241,-73.91398918,Not Extended Affordability,Non Prevailing Wage,1,4,6,6
58889,KENMORE HALL ASSOCIATES LP.YR15.FY17,143,EAST 23 STREET,Manhattan,106,2,40.73950328,-73.98401755,Not Extended Affordability,Non Prevailing Wage,39,7,327,327
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,2158,2 AVENUE,Manhattan,111,8,40.79352169,-73.93991155,Not Extended Affordability,Non Prevailing Wage,0,2,13,13
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,2161,2 AVENUE,Manhattan,111,8,40.79402693,-73.94030476,Not Extended Affordability,Non Prevailing Wage,0,2,4,4
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,2164,2 AVENUE,Manhattan,111,8,40.79386194,-73.93971261,Not Extended Affordability,Non Prevailing Wage,0,1,3,3
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,2284,2 AVENUE,Manhattan,111,8,40.79774694,-73.93684137,Not Extended Affordability,Non Prevailing Wage,0,6,9,9
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,2291 1/2,2 AVENUE,Manhattan,111,8,40.79815893,-73.93735746,Not Extended Affordability,Non Prevailing Wage,0,8,11,11
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,2330,2 AVENUE,Manhattan,111,8,40.79915717,-73.93583594,Not Extended Affordability,Non Prevailing Wage,0,3,3,3
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,2349,2 AVENUE,Manhattan,111,8,40.79998344,-73.93601935,Not Extended Affordability,Non Prevailing Wage,0,7,9,9
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,162,EAST 105 STREET,Manhattan,111,8,40.79109573,-73.94623728,Not Extended Affordability,Non Prevailing Wage,0,4,5,5
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,11,EAST 109 STREET,Manhattan,111,9,40.79609231,-73.94880475,Not Extended Affordability,Non Prevailing Wage,1,14,24,24
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,15,EAST 109 STREET,Manhattan,111,9,40.79604285,-73.94868921,Not Extended Affordability,Non Prevailing Wage,1,12,24,24
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,16,EAST 109 STREET,Manhattan,111,9,40.79565322,-73.94895316,Not Extended Affordability,Non Prevailing Wage,0,3,10,10
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,18,EAST 109 STREET,Manhattan,111,9,40.79562299,-73.94887373,Not Extended Affordability,Non Prevailing Wage,0,6,10,10
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,22,EAST 109 STREET,Manhattan,111,9,40.79554331,-73.94868599,Not Extended Affordability,Non Prevailing Wage,4,8,15,15
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,24,EAST 109 STREET,Manhattan,111,9,40.79549935,-73.9485849,Not Extended Affordability,Non Prevailing Wage,0,8,15,15
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,26,EAST 109 STREET,Manhattan,111,9,40.79545814,-73.94848741,Not Extended Affordability,Non Prevailing Wage,0,7,14,14
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,18,EAST 110 STREET,Manhattan,111,9,40.79626781,-73.94844706,Not Extended Affordability,Non Prevailing Wage,0,31,60,60
58891,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,212,EAST 111 STREET,Manhattan,111,8,40.79430494,-73.9418647,Not Extended Affordability,Non Prevailing Wage,0,7,8,8
