Project_ID,Project_Status,Project_Name,Street_Number ,Street_Name,Street_Type,Zip_Code,Planning_Address,APN(s),Supervisor_District,Planning_Neighborhood,City_Analysis_Neighborhood,Lead_Agency,Program_Area,Project_Area,Project_Type,Housing_Tenure,Issuance_of_Notice_to_Proceed,Issuance_of_Building_Permit,Issuance_of_First_Construction_Document,Estimated/Actual_Construction_Start_Date,Estimated_Construction_Completion,Project_Lead_Sponsor,Project_Co-Sponsor,Project_Owner,DBI_Permit_Number,Planning_Case_Number,Property_Informaiton_Map_Link,Planning_Entitlements,Entitlement_Approval,Section_415_Declaration,Recording_Number,Recording_Date,Project_Units,Affordable_Units,Market_Rate_Units,%_Affordable,SRO_Units,Studio_Units,1bd_Units,2bd_Units,3bd_Units,4bd_Units,5+_bd_Units,Mobility_Units,Manager_Units,Manager_Unit(s)_Type,Family_Units,Senior_Units,TAY_Units,Homeless_Units,Disabled_Units,20%_AMI,30%_AMI,50%_AMI,55%_AMI,60%_AMI,80%_AMI,90%_AMI,100%_AMI,120%_AMI,150%_AMI,Latitude,Longitude,Location
2006-001,(5) First Construction Document Issued,1036 Mission,1036,Mission,St,94103,1036 MISSION ST 94103,3703162,6,South of Market,South of Market,MOHCD,Multifamily,,New Construction,Rental,9/1/16,9/11/15,,9/1/16 0:00,9/1/18,Tenderloin Neighborhood Development Corporation,,"1036 Mission Associates, LP",2.01406E+11,2014.0103,http://propertymap.sfplanning.org/?search=2014.0103,"2014.0103C,2014.0103V,2014.0103X",4/24/14,,,,83,82,1,99%,0,0,37,38,7,0,0,0,1,1bd,42,0,0,40,0,20,20,42,0,0,0,0,0,0,0,37.78053902,-122.4098438,"(37.7805390165809, -122.409843794608)"
2006-002,(2) Predevelopment Feasibility,Midtown Park Apartments,1415,Scott,St,94115,"2040 OFARRELL ST, SAN FRANCISCO, CA",1099031,5,Western Addition,Western Addition,MOHCD,Multifamily,,Rehabilitation,Rental,,,,,,Mercy Housing California,,Entity to be formed,,2014.0563,http://propertymap.sfplanning.org/?search=2014.0563,2014.0563R,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78300526,-122.4384996,"(37.7830052591085, -122.438499577861)"
2006-003,(6) Complete,340 Fremont,340-350 ,Fremont,St,94105,"340 FREMONT ST, SAN FRANCISCO, CA 94105",3748006,6,South of Market,Financial District/South Beach,MOHCD,Inclusionary,,New Construction,Unknown,,,4/23/14,4/23/14 0:00,3/13/17,Jackson Pacific Ventures/Archstone Smith ,,,2.01208E+11,2004.0552,http://propertymap.sfplanning.org/?search=2004.0552,"2004.0552E,2004.0552K,2004.0552V,2004.0552X",6/8/06,Fee Payment ,,,348,0,348,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78706681,-122.3929768,"(37.7870668091463, -122.392976800458)"
2006-004,(6) Complete,399 Fremont,355-399,Fremont,St,94105,"355 SITUS TO BE ASSIGNED ST, SAN FRANCISCO, CA 94105",3747320,6,South of Market,Financial District/South Beach,MOHCD,Inclusionary,,New Construction,Unknown,,6/14/13,2/10/14,2/10/14 0:00,2/10/17,"OMD/UDR, LLC",,,2.00605E+11,2006.0358,http://propertymap.sfplanning.org/?search=2006.0358,"07-091,2006.0358E,2006.0358K,2006.0358Q,2006.0358V,2006.0358X",6/15/06,Fee Payment ,,,452,0,452,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78732243,-122.3922237,"(37.7873224327112, -122.392223707721)"
2006-005,(4) Site Work Permit Issued,"Trinity Plaza Apartments, Phase IV",1167,Market,St,94103,"1167 MARKET ST, SAN FRANCISCO, CA 94103",3702053,6,South of Market,South of Market,MOHCD,Inclusionary,,New Construction,Rental,,10/31/13,,8/2/11 0:00,8/1/18,Trinity Properties,,,"200704098308, 201012166843",2002.1179,http://propertymap.sfplanning.org/?search=2002.1179,"2002.1179C,2002.1179E,2002.1179K,2002.1179M,2002.1179Q,2002.1179T,2002.1179W,2002.1179X,2002.1179Z",8/3/06,On-site BMR Project ,,,493,74,419,15%,0,0,0,0,0,0,0,0,0,,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.77845686,-122.413427,"(37.7784568578973, -122.413427037733)"
2006-006,(5) First Construction Document Issued,"Trinity Plaza Apartments, Phase III",33,8th,St,94103,"1167 MARKET ST, SAN FRANCISCO, CA 94103",3702053,6,South of Market,South of Market,MOHCD,Inclusionary,,New Construction,Rental,,10/31/13,4/7/14,4/7/14 0:00,2/22/17,Trinity Properties,,,"200704098308, 201012166843",2002.1179,http://propertymap.sfplanning.org/?search=2002.1179,"2002.1179C,2002.1179E,2002.1179K,2002.1179M,2002.1179Q,2002.1179T,2002.1179W,2002.1179X,2002.1179Z",8/3/06,On-site BMR Project ,2016-K338024,10/4/16,540,82,458,15%,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,82,0,0,0,0,0,0,37.77845686,-122.413427,"(37.7784568578973, -122.413427037733)"
2007-003,(3) Design with Entitlements Approved,Eddy & Taylor,238,Taylor,St,94102,210 TAYLOR ST 94102,331010,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,,New Construction,Rental,4/1/17,,,4/1/17 0:00,10/1/18,Tenderloin Neighborhood Development Corporation,,"Eddy & Taylor Associates, LP",2.01602E+11,2015-001077PRJ,http://propertymap.sfplanning.org/?search=2015-001077PRJ,2015-001077CUA,,,,,113,112,1,99%,0,16,14,67,15,0,0,0,1,2bd,82,0,0,30,0,0,0,112,0,0,0,0,0,0,0,37.78448652,-122.4106615,"(37.7844865162405, -122.410661522927)"
2007-005,(5) First Construction Document Issued,Willie B Kennedy Senior Housing (Rosa Parks II),1239,Turk,St,94115,"1251 TURK ST, SAN FRANCISCO, CA 94115",757027,5,Western Addition,Western Addition,MOHCD,Multifamily,,New Construction,Rental,9/15/14,,,9/15/14 0:00,7/31/16,Tenderloin Neighborhood Development Corporation,,"Rosa Parks II, LP",,2014.0888,http://propertymap.sfplanning.org/?search=2014.0888,2014.0888C,7/17/14,,,,98,97,1,99%,0,32,65,0,0,0,0,0,1,2bd,0,77,0,20,0,0,0,97,0,0,0,0,0,0,0,37.78062851,-122.4295793,"(37.7806285071736, -122.429579272056)"
2008-001,(5) First Construction Document Issued,Bill Sorro Community (Hugo/200 6th),1009,Howard,St,94103,"200 06TH ST, SAN FRANCISCO, CA 94103",3731001,6,South of Market,South of Market,MOHCD,Multifamily,,New Construction,Rental,12/16/14,1/30/14,,12/16/14 0:00,12/1/16,Mercy Housing California,,"Mercy Housing California 51, LP","201211295086, 201211295087 ",2011.0119,http://propertymap.sfplanning.org/?search=2011.0119,"2011.0119C,2011.0119E,2011.0119E_3,2011.0119K,2011.0119R,2011.0119V",8/1/13,,DOC-2014-J993319-00,12/16/14,67,66,1,99%,0,8,24,24,10,0,0,0,1,2bd,52,0,0,0,14,0,0,66,0,0,0,0,0,0,0,37.77937939,-122.4071016,"(37.7793793899215, -122.407101573117)"
2008-004,(5) First Construction Document Issued,5050 Mission  ,5050,Mission,St,94112,"5050 MISSION ST, SAN FRANCISCO, CA 94112",6969001,11,Outer Mission,Outer Mission,MOHCD,Inclusionary,,New Construction,Ownership,6/24/16,2/5/16,6/24/16,6/24/16 0:00,12/16/17,John Sanger,,,,2006.1213,http://propertymap.sfplanning.org/?search=2006.1213,"2006.1213C,2006.1213E,2006.1213E_3,2006.1213E_5,2006.1213K",8/14/08,On-site BMR Project ,2015-K132351,9/15/15,61,9,52,15%,0,0,0,0,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,37.71779659,-122.4406663,"(37.7177965908873, -122.44066630175)"
2013-054,(5) First Construction Document Issued,Canon Kip Community House,705,Natoma,St,94103,Not Applicable,3728007,6,South of Market,South of Market,MOHCD,Multifamily,,Rehabilitation,Rental,11/1/16,,,11/1/16 0:00,7/1/18,Episcopal Community Services,Mercy Housing California,"Canon Kip Associates II, LP",2.01507E+11,Not Applicable,,,,,,,104,103,1,99%,0,103,0,0,0,0,0,0,1,1bd,0,0,0,103,0,0,0,21,0,82,0,0,0,0,0,37.77632468,-122.4123094,"(37.7763246774943, -122.412309402365)"
2008-005,(5) First Construction Document Issued,Richardson Hall,55,Laguna,St,94102,55 LAGUNA ST 94102,002007-0857 (5 lots),8,Western Addition,Hayes Valley,MOHCD,Multifamily,,Adaptive Reuse,Rental,4/22/15,8/2/13,,4/22/15 0:00,11/10/16,Mercy Housing California,Openhouse,"55 Laguna, LP",2.01306E+11,2015-007791PRJ,http://propertymap.sfplanning.org/?search=2015-007791PRJ, ,8/16/12,,,,40,39,1,98%,0,10,26,3,0,0,0,0,1,2bd,0,31,0,8,0,0,0,39,0,0,0,0,0,0,0,37.77169713,-122.4261466,"(37.7716971273041, -122.42614664137)"
2008-006,(3) Design with Entitlements Approved,95 Laguna,95,Laguna,St,94102,95 LAGUNA ST 94102,002007-0857 (5 lots),8,Western Addition,Hayes Valley,MOHCD,Multifamily,,New Construction,Rental,2/1/17,8/2/13,,2/1/17 0:00,12/1/18,Mercy Housing California,Openhouse,"Laguna Senior Housing, LP",2.01507E+11,2015-009145PRJ,http://propertymap.sfplanning.org/?search=2015-009145PRJ, ,8/16/12,,,,79,78,1,99%,0,40,36,2,0,0,0,0,1,2bd,0,63,0,15,0,0,0,78,0,0,0,0,0,0,0,37.77169713,-122.4261466,"(37.7716971273041, -122.42614664137)"
2008-007,(5) First Construction Document Issued,2800 Sloat Boulevard,2800,Sloat,Blvd,94116,"2800 SLOAT BL, SAN FRANCISCO, CA 94116",2515001,4,Parkside,Sunset/Parkside,MOHCD,Inclusionary,,New Construction,Ownership,,12/30/14,10/5/15,10/5/15 0:00,3/28/17,Ocean Park Development,,,"201402047761, 201501095367, 201501095367, 201501095370, 201501095370, 201501095371, 201501095371",2005.1066,http://propertymap.sfplanning.org/?search=2005.1066,"2005.1066C,2005.1066E,2005.1066E_3,2005.1066K,2005.1066P",11/13/08,On-site BMR Project ,2014-J996978,12/22/14,56,7,49,13%,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,37.73585377,-122.5047373,"(37.7358537731279, -122.504737332341)"
2008-008,(5) First Construction Document Issued,1 Stanyan,1,Stanyan,St,94118,"3501 GEARY BL, SAN FRANCISCO, CA 94118",1084001B,1,Inner Richmond,Lone Mountain/USF,MOHCD,Inclusionary,,New Construction,Unknown,12/22/16,6/15/16,12/22/16,12/22/16 0:00,6/15/18,Wisfe Aish,,,2.00712E+11,2007.0113,http://propertymap.sfplanning.org/?search=2007.0113,"2007.0113E,2007.0113U",12/31/08,Fee Payment ,2015-K077100,6/17/15,13,0,13,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78107236,-122.4565216,"(37.7810723624115, -122.456521625804)"
2008-009,(6) Complete,"HPSY I, Block 50",547,Donahue,St,94124,Not Applicable,4591C265-289 (25 lots),10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,,New Construction,Ownership,,12/29/09,5/19/10,5/19/10 0:00,4/27/16,Lennar Urban,,,2.00907E+11,Not Applicable,,,,,,,25,3,22,12%,0,0,0,3,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37.72838118,-122.3701996,"(37.7283811846138, -122.370199597814)"
2008-010,(6) Complete,"HPSY I, Block 51",451,Donahue,St,94124,Not Applicable,4591C290-352 (25 lots),10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,,New Construction,Ownership,,12/29/09,7/7/11,7/7/11 0:00,1/26/16,Lennar Urban,,,2.00907E+11,Not Applicable,,,,,,,63,6,57,10%,0,0,6,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37.72900149,-122.3696392,"(37.7290014869351, -122.369639230537)"
